"Authorize Only","Doar permiteți","module","Magento_Authorizenet"
"Authorize and Capture","Permiteți și captați","module","Magento_Authorizenet"
"Unable to get transaction details. Try again later.","Imposibil de obținut detaliile tranzacției. încercați din nou mai târziu.","module","Magento_Authorizenet"
"Gateway error: ' .","Gateway error: ' . 'Eroare portal: ' .","module","Magento_Authorizenet"
"Credit Card Type","Tip card de credit","module","Magento_Authorizenet"
"Credit Card Number","Număr card de credit","module","Magento_Authorizenet"
"Expiration Date","Data expirării","module","Magento_Authorizenet"
"Card Verification Number","Număr verificare card","module","Magento_Authorizenet"
"Fraud Detection","Detectare abuz","module","Magento_Authorizenet"
"FDS Filter Action","Acțiune-filtru FDS","module","Magento_Authorizenet"
"AVS Response","Răspuns AVS","module","Magento_Authorizenet"
"Card Code Response","Răspuns cod card","module","Magento_Authorizenet"
"CAVV Response","Răspuns CAVV","module","Magento_Authorizenet"
"Fraud Filters","Filtre abuz","module","Magento_Authorizenet"
"Authorize.net Direct Post","Afișare directă Authorize.net","module","Magento_Authorizenet"
"Enabled","Activat","module","Magento_Authorizenet"
"Payment Action","Acțiune de plată","module","Magento_Authorizenet"
"Title","Titlu","module","Magento_Authorizenet"
"API Login ID","ID conectare API","module","Magento_Authorizenet"
"Transaction Key","Cheie tranzacție","module","Magento_Authorizenet"
"Merchant MD5","MD5 comerciant","module","Magento_Authorizenet"
"New Order Status","Status comandă nouă","module","Magento_Authorizenet"
"Test Mode","Mod test","module","Magento_Authorizenet"
"Gateway URL","URL Gateway","module","Magento_Authorizenet"
"Transaction Details URL","URL detalii tranzacție","module","Magento_Authorizenet"
"Accepted Currency","Monedă acceptată","module","Magento_Authorizenet"
"Debug","Depanare","module","Magento_Authorizenet"
"Email Customer","Trimiteți email clientului","module","Magento_Authorizenet"
"Merchant's Email","Email-ul comerciantului","module","Magento_Authorizenet"
"Credit Card Types","Tipuri card de credit","module","Magento_Authorizenet"
"Credit Card Verification","Verificare card de credit","module","Magento_Authorizenet"
"Payment from Applicable Countries","Plată din țările aplicabile","module","Magento_Authorizenet"
"Payment from Specific Countries","Plată din tări specifice","module","Magento_Authorizenet"
"Minimum Order Total","Total minim comandă","module","Magento_Authorizenet"
"Maximum Order Total","Total maxim comandă","module","Magento_Authorizenet"
"Sort Order","Sortare comandă","module","Magento_Authorizenet"
"Invalid Form Key. Please refresh the page.","Formă cheie/cod nevalidă. Reîmprospătați pagina.","module","Magento_Backend"
"You entered an invalid Secret Key. Please refresh the page.","Ați introdus o Cheie Secretă nevalidă. Reîmprospătați pagina.","module","Magento_Backend"
"Cache Storage Management","Management stocare cache","module","Magento_Backend"
"Flush Magento Cache","curățare Cache Magento","module","Magento_Backend"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Memoria cache poate conține informații suplimentare.Sunteți sigur că doriți să o curățați?","module","Magento_Backend"
"Flush Cache Storage","Curățare Memorie Cache","module","Magento_Backend"
"Invalidated","Nevalidat","module","Magento_Backend"
"Orders","Comenzi","module","Magento_Backend"
"Amounts","Cantități","module","Magento_Backend"
"Bestsellers","Cele mai vândute","module","Magento_Backend"
"Most Viewed Products","Cele mai vizualizate produse","module","Magento_Backend"
"New Customers","Clienți noi","module","Magento_Backend"
"Customers","Clienți","module","Magento_Backend"
"Customer","Client","module","Magento_Backend"
"Guest","Vizitator","module","Magento_Backend"
"Items","Articole","module","Magento_Backend"
"Total","Total","module","Magento_Backend"
"Lifetime Sales","Vânzări la termen","module","Magento_Backend"
"Average Order","Comandă medie","module","Magento_Backend"
"Average","Medie","module","Magento_Backend"
"Product","Produs","module","Magento_Backend"
"Price","Preț","module","Magento_Backend"
"Quantity","Cantitate","module","Magento_Backend"
"Views","Vizualizări","module","Magento_Backend"
"Revenue","Beneficiu","module","Magento_Backend"
"Tax","Taxă","module","Magento_Backend"
"Shipping","Livrare","module","Magento_Backend"
"Images (.gif, .jpg, .png)","Imagini (.gif, .jpg, .png)","module","Magento_Backend"
"Media (.avi, .flv, .swf)","Media (.avi, .flv, .swf)","module","Magento_Backend"
"All Files","Toate fișierele","module","Magento_Backend"
"Reset to Default","Resetați ca implicit","module","Magento_Backend"
"All Store Views","Toate vizualizările magazinului","module","Magento_Backend"
"What is this?","Ce este aceasta?","module","Magento_Backend"
"Save Account","Salvează cont","module","Magento_Backend"
"My Account","Contul meu","module","Magento_Backend"
"Account Information","Informații cont","module","Magento_Backend"
"User Name","Nume Utilizator","module","Magento_Backend"
"First Name","Prenume","module","Magento_Backend"
"Last Name","Nume","module","Magento_Backend"
"Email","Email","module","Magento_Backend"
"User Email","Email utilizator","module","Magento_Backend"
"New Password","Parolă nouă","module","Magento_Backend"
"Password Confirmation","Confirmare parolă","module","Magento_Backend"
"Interface Locale","Interfață regională","module","Magento_Backend"
"Current User Identity Verification","Verificare identitate utilizator curent","module","Magento_Backend"
"Your Password","Parola dumneavoastră","module","Magento_Backend"
"Save Cache Settings","Salvați setările Cache","module","Magento_Backend"
"Catalog Rewrites","Rescrieri catalog","module","Magento_Backend"
"Refresh","Reîmprospătează","module","Magento_Backend"
"Images Cache","Imagini Cache","module","Magento_Backend"
"Clear","goliți","module","Magento_Backend"
"Search Index","Căutați Index","module","Magento_Backend"
"Rebuild","Reconstruit","module","Magento_Backend"
"Inventory Stock Status","Status stoc inventar","module","Magento_Backend"
"Rebuild Catalog Index","Index catalog reconstruit","module","Magento_Backend"
"Rebuild Flat Catalog Category","Reconstruire Plan Categorie de Catalog","module","Magento_Backend"
"Rebuild Flat Catalog Product","Reconstruire Plan Categorie de Produs","module","Magento_Backend"
"Cache Control","Control Cache","module","Magento_Backend"
"All Cache","Toate Cache","module","Magento_Backend"
"No change","Nici o modificare","module","Magento_Backend"
"Disable","Dezactivați","module","Magento_Backend"
"Enable","Activați","module","Magento_Backend"
"Add Design Change","Adăugați modificare de design","module","Magento_Backend"
"Back","înapoi","module","Magento_Backend"
"Delete","ștergeți","module","Magento_Backend"
"Are you sure?","Sunteți sigur?","module","Magento_Backend"
"Save","Salvați","module","Magento_Backend"
"Edit Design Change","Editați modificare de design","module","Magento_Backend"
"New Store Design Change","Modificare design magazin nou","module","Magento_Backend"
"General Settings","Setări generale","module","Magento_Backend"
"Store","Magazin","module","Magento_Backend"
"-- Please Select --","-- Selectați --","module","Magento_Backend"
"Custom Design","Design personalizat","module","Magento_Backend"
"Date From","Din data","module","Magento_Backend"
"Date To","Până la data","module","Magento_Backend"
"Design Change","Modificare design","module","Magento_Backend"
"General","General","module","Magento_Backend"
"Cancel","Anulați","module","Magento_Backend"
"Delete %1 '%2'","șterge %1 '%2'","module","Magento_Backend"
"Delete %1","șterge %1","module","Magento_Backend"
"Block Information","Informatii bloc","module","Magento_Backend"
"Backup Options","Opțiuni pentru copii de rezervă","module","Magento_Backend"
"Create DB Backup","Creați Backup DB","module","Magento_Backend"
"Yes","Da","module","Magento_Backend"
"No","Nu","module","Magento_Backend"
"Delete Store","ștergeți magazin","module","Magento_Backend"
"Delete Web Site","ștergeți Web Site","module","Magento_Backend"
"Save Web Site","Salvați Web Site","module","Magento_Backend"
"Save Store","Salvați magazin","module","Magento_Backend"
"Save Store View","Salvați vizualizare magazin","module","Magento_Backend"
"Delete Store View","ștergeți vizualizare magazin","module","Magento_Backend"
"Edit Web Site","Editați Web Site","module","Magento_Backend"
"New Web Site","Web Site nou","module","Magento_Backend"
"Edit Store","Editați magazin","module","Magento_Backend"
"New Store","Magazin nou","module","Magento_Backend"
"Edit Store View","Editați vizualizare site","module","Magento_Backend"
"New Store View","Vizualizare site nouă","module","Magento_Backend"
"Store Information","Informații magazin","module","Magento_Backend"
"Web Site","Web Site","module","Magento_Backend"
"Name","Nume","module","Magento_Backend"
"Root Category","Categorie de bază","module","Magento_Backend"
"Default Store View","Vizualizare magazin implicită","module","Magento_Backend"
"Store View Information","Informații vizualizare magazin","module","Magento_Backend"
"Code","Cod","module","Magento_Backend"
"Status","Status","module","Magento_Backend"
"Disabled","Dezactivat","module","Magento_Backend"
"Enabled","Activat","module","Magento_Backend"
"Sort Order","Sortare Comandă","module","Magento_Backend"
"Web Site Information","Informații Web Site","module","Magento_Backend"
"Default Store","Magazin implicit","module","Magento_Backend"
"Set as Default","Setați ca implicit","module","Magento_Backend"
"Stores","Magazine","module","Magento_Backend"
"Create Website","Creați Website","module","Magento_Backend"
"Create Store","Creați magazin","module","Magento_Backend"
"Create Store View","Creați vizualizare magazin","module","Magento_Backend"
"Home","Pagina principală","module","Magento_Backend"
"Reset","Resetare","module","Magento_Backend"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți acest lucru?","module","Magento_Backend"
"Add New Image","Adaugă imagine nouă","module","Magento_Backend"
"Export block for grid %1 is not defined","Blocul de export pentru grila %1 nu este definit","module","Magento_Backend"
"Reset Filter","Resetare filtru","module","Magento_Backend"
"Search","Căutare","module","Magento_Backend"
"Any","Oricare","module","Magento_Backend"
"All Countries","Toate tările","module","Magento_Backend"
"From","De la","module","Magento_Backend"
"To","Până la","module","Magento_Backend"
"Date selector","Selector dată","module","Magento_Backend"
"[ deleted ]","[ șters ]","module","Magento_Backend"
"Select All","Selectați toate","module","Magento_Backend"
"[deleted]","[ șters ]","module","Magento_Backend"
"We couldn't find any records.","Nu s-au putut găsi registre.","module","Magento_Backend"
"Add New","Adăugați nou","module","Magento_Backend"
"Invalid export type supplied for grid export block","Tip export nevalid furnizat pentru blocul de export grilă.","module","Magento_Backend"
"Export","Export","module","Magento_Backend"
"Please correct the column format and try again.","Corectați formatul coloanei și încercați din nou.","module","Magento_Backend"
"Please select items.","Selectați articole","module","Magento_Backend"
"Submit","Trimiteți","module","Magento_Backend"
"Unknown block type","Tip bloc necunoscut","module","Magento_Backend"
"Please correct the tab configuration and try again. Tab Id should be not empry","Corectați configurația filei și încercați din nou. ID-ul filei nu trebuie să fie gol.","module","Magento_Backend"
"Please correct the tab configuration and try again.","Corectați configurația filei și încercați din nou.","module","Magento_Backend"
"You have logged out.","Sunteți deconectat.","module","Magento_Backend"
"Specified cache type(s) don't exist: %1","Tip(uri) cache specificat(e) inexistente: %1","module","Magento_Backend"
"The image cache was cleaned.","Imaginea cache a fost curățată.","module","Magento_Backend"
"An error occurred while clearing the image cache.","A avut loc o eroare în timpul ștergerii imaginii cache.","module","Magento_Backend"
"The JavaScript/CSS cache has been cleaned.","Cache-ul JavaScript/CSS a fost șters.","module","Magento_Backend"
"An error occurred while clearing the JavaScript/CSS cache.","A avut loc o eroare în timpul ștergerii cache-ului JavaScript/CSS.","module","Magento_Backend"
"The static files cache has been cleaned.","Cache-ul fișierelor statice a fost curățat.","module","Magento_Backend"
"You flushed the cache storage.","Ați curățat memoria cache.","module","Magento_Backend"
"The Magento cache storage has been flushed.","Memoria cache Magento a fost curățată.","module","Magento_Backend"
"Cache Management","Management cache","module","Magento_Backend"
"%1 cache type(s) disabled.","%1 tip(uri) cache dezactivat(e).","module","Magento_Backend"
"An error occurred while disabling cache.","A avut loc o eroare în timpul dezactivării cache.","module","Magento_Backend"
"%1 cache type(s) enabled.","%1 tip(uri) cache activat(e).","module","Magento_Backend"
"An error occurred while enabling cache.","A avut loc o eroare în timpul activării cache.","module","Magento_Backend"
"%1 cache type(s) refreshed.","%1 tip(uri) cache reîmprospătat(e).","module","Magento_Backend"
"An error occurred while refreshing cache.","A avut loc o eroare în timpul reîmpropătării cache.","module","Magento_Backend"
"Dashboard","Panou","module","Magento_Backend"
"We updated lifetime statistic.","S-a actualizat termenul pentru statistica.","module","Magento_Backend"
"We can't refresh lifetime statistics.","Nu putem reîmprospăta termenul statistica.","module","Magento_Backend"
"invalid request","cerere nevalidă","module","Magento_Backend"
"see error log for details","mergeți la jurnal-erori pentru detalii","module","Magento_Backend"
"Service unavailable: %1","serviciu indisponibil: %1","module","Magento_Backend"
"Error","Eroare","module","Magento_Backend"
"Access Denied.","Acces interzis.","module","Magento_Backend"
"You need more permissions to do this.","Aveți nevoie de mai multe permisiuni pentru a face acest lucru.","module","Magento_Backend"
"No search modules were registered","Nu au fost înregistrate module de căutare","module","Magento_Backend"
"Please make sure that all global admin search modules are installed and activated.","Asigurați-vă că toate modulele de căutare pentru administrator global sunt instalate și activate.","module","Magento_Backend"
"You have entered an invalid password for current user.","Ați introdus o parolă nevalidă pentru utilizatorul curent.","module","Magento_Backend"
"You saved the account.","Ați salvat contul.","module","Magento_Backend"
"An error occurred while saving account.","A avut loc o eroare în timpul salvării contului","module","Magento_Backend"
"You deleted the design change.","Ați șters modificarea de design.","module","Magento_Backend"
"You can't delete the design change.","Nu puteți șterge modificarea de design.","module","Magento_Backend"
"Store Design","Design magazin","module","Magento_Backend"
"Edit Store Design Change","Editare modificare design magazin","module","Magento_Backend"
"You saved the design change.","Ați salvat modificarea de design.","module","Magento_Backend"
"System","sistem","module","Magento_Backend"
"Manage Stores","Gestionare magazine","module","Magento_Backend"
"The database was backed up.","Bazei de date i s-a creat o copie de rezervă.","module","Magento_Backend"
"We can't create a backup right now. Please try again later.","Nu se poate crea o copie de rezervă. încercați din nou mai târziu.","module","Magento_Backend"
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","ștergerea %1 nu va șterge informația asociată cu %1 (e.g. categorii, produse, etc.), dar %1 nu va putea fi restaurat. Sugerăm crearea unei copii de rezervă a bazei de date înainte de ștergerea %1.","module","Magento_Backend"
"Something went wrong. Please try again.","A avut loc o eroare. încercați din nou","module","Magento_Backend"
"This store cannot be deleted.","Acest magazin nu poate fi șters.","module","Magento_Backend"
"You deleted the store.","Ați șters magazinul","module","Magento_Backend"
"Unable to delete store. Please, try again later.","Imposibil de șters magazinul. încercați din nou mai târziu.","module","Magento_Backend"
"This store view cannot be deleted.","Acest magazin nu poate fi șters.","module","Magento_Backend"
"Store View","Vizualizare magazin","module","Magento_Backend"
"You deleted the store view.","Ați șters vizualizarea magazinului.","module","Magento_Backend"
"Unable to delete store view. Please, try again later.","Imposibil de șters vizualizarea magazinului. încercați din nou mai târziu.","module","Magento_Backend"
"This website cannot be deleted.","Acest website nu poate fi șters.","module","Magento_Backend"
"You deleted the website.","Ați șters website-ul.","module","Magento_Backend"
"Unable to delete website. Please, try again later.","Imposibil de șters website-ul. încercați din nou mai târziu.","module","Magento_Backend"
"The website does not exist.","Website inexistent.","module","Magento_Backend"
"Before modifying the website code please make sure it is not used in index.php.","înainte de a modifica codul website-ului, asigurați-vă că nu este folosit în index.php.","module","Magento_Backend"
"The store does not exist","Magazin inexistent.","module","Magento_Backend"
"Store view doesn't exist","Vizualizare magazin inexistentă.","module","Magento_Backend"
"Before modifying the store view code please make sure it is not used in index.php.","înainte de a modifica codul vizualizării magazinului, asigurați-vă că nu este folosit în index.php.","module","Magento_Backend"
"New","Nou","module","Magento_Backend"
"You saved the website.","Ați salvat website-ul.","module","Magento_Backend"
"You saved the store.","Ați salvat magazinul","module","Magento_Backend"
"You saved the store view.","Ați salvat vizualizarea magazinului.","module","Magento_Backend"
"Something went wrong while saving. Please review the error log.","A avut o eroare în timpul salvării. Verificați jurnalul de erori.","module","Magento_Backend"
"Last 24 Hours","Ultimele 24 de ore","module","Magento_Backend"
"Last 7 Days","Ultimele 7 zile","module","Magento_Backend"
"Current Month","Luna curentă","module","Magento_Backend"
"YTD","Ultimul an","module","Magento_Backend"
"2YTD","Ultimii 2 ani","module","Magento_Backend"
"Authentication storage is incorrect.","Memoria de autentificare este incorectă.","module","Magento_Backend"
"You did not sign in correctly or your account is temporarily disabled.","Nu v-ați conectat corect sau contul dumneavoastră este temporar dezactivat.","module","Magento_Backend"
"Authentication error occurred.","A avut loc o eroare de autentificare.","module","Magento_Backend"
"Order","Comandă","module","Magento_Backend"
"Order #%1","Comanda #%1","module","Magento_Backend"
"Access denied","Acces interzis.","module","Magento_Backend"
"Please try to sign out and sign in again.","încercați să vă deconectați și să vă conectați din nou.","module","Magento_Backend"
"If you continue to receive this message, please contact the store owner.","Dacă primiți în continuare acest mesaj, contactați proprietarul magazinului.","module","Magento_Backend"
"You need more permissions to access this.","Aveți nevoie de mai multe permisiuni pentru acces.","module","Magento_Backend"
"Welcome, please sign in","Bun venit, conectați-vă","module","Magento_Backend"
"Username","Utilizator","module","Magento_Backend"
"user name","Nume utilizator","module","Magento_Backend"
"Password","Parolă","module","Magento_Backend"
"password","parolă","module","Magento_Backend"
"Sign in","Conectare","module","Magento_Backend"
"Select Range:","Selectați intervalul:","module","Magento_Backend"
"No Data Found","Nici o informație găsită","module","Magento_Backend"
"Chart is disabled. To enable the chart, click <a href=""%1"">here</a>.","Graficul este dezactivat. Pentru a activa graficul, faceți click aici <a href=""%1"">here</a>.","module","Magento_Backend"
"Last Orders","Ultimele comenzi","module","Magento_Backend"
"Last Search Terms","Ultimii termeni căutați","module","Magento_Backend"
"Top Search Terms","Top termeni căutați","module","Magento_Backend"
"There are no search keywords.","Nu există cuvinte-cheie pentru căutare.","module","Magento_Backend"
"View Statistics For:","Vizualizare statistici pentru:","module","Magento_Backend"
"All Websites","Toate website-urile","module","Magento_Backend"
"Reload Data","Reîncărcare informație","module","Magento_Backend"
"Browse Files...","Răsfoire fișiere...","module","Magento_Backend"
"Magento","Magento","module","Magento_Backend"
"Copyright &copy; %1 Magento. All rights reserved.","Copyright &copy; %1 Magento. Toate drepturile rezervate.","module","Magento_Backend"
"ver. %1","ver. %1","module","Magento_Backend"
"Magento Admin Panel","Panou Administrator Magento","module","Magento_Backend"
"Account Setting","Setări cont","module","Magento_Backend"
"Customer View","Vedere client","module","Magento_Backend"
"Sign Out","Delogare","module","Magento_Backend"
"About the calendar","Despre calendar","module","Magento_Backend"
"Close","închideți","module","Magento_Backend"
"Go Today","Mergeți astăzi","module","Magento_Backend"
"Previous","Anteriorul","module","Magento_Backend"
"Next","Următorul","module","Magento_Backend"
"WK","WK / Săptămâna","module","Magento_Backend"
"Time","Timp","module","Magento_Backend"
"Hour","Oră","module","Magento_Backend"
"Minute","Minut","module","Magento_Backend"
"JavaScript may be disabled in your browser.","JavaScript poate fi dezactivat în browser-ul dumneavoastră.","module","Magento_Backend"
"To use this website you must first enable JavaScript in your browser.","Pentru a folosi acest website trebuie mai întâi să activați JavaScript în browser-ul dumneavoastră.","module","Magento_Backend"
"This is only a demo store. You can browse and place orders, but nothing will be processed.","Acesta este doar un magazin demo. Puteți răsfoi și plasa comenzi, dar nimic nu va fi procesat.","module","Magento_Backend"
"Report Bugs","Raportare bug-uri","module","Magento_Backend"
"Store View:","Vizualizare magazin:","module","Magento_Backend"
"Stores Configuration","Configurație magazine","module","Magento_Backend"
"Please confirm scope switching. All data that hasn't been saved will be lost.","Confirmați schimbarea domeniului. Toată informația care nu a fost salvată va fi pierdută.","module","Magento_Backend"
"Additional Cache Management","Management cache suplimentar","module","Magento_Backend"
"Flush Catalog Images Cache","ștergeți catalogul de imagini cache","module","Magento_Backend"
"Pregenerated product images files","Imagini produs pregenerate","module","Magento_Backend"
"Flush JavaScript/CSS Cache","ștergeți JavaScript/CSS Cache","module","Magento_Backend"
"Themes JavaScript and CSS files combined to one file.","Temele JavaScript și fișierele CSS combinate într-un singur fișier.","module","Magento_Backend"
"Flush Static Files Cache","ștergeți cache-ul fișierelor statice","module","Magento_Backend"
"Preprocessed view files and static files","Fișiere vizualizare și fișiere statice preprocesate","module","Magento_Backend"
"Catalog","Catalog","module","Magento_Backend"
"JavaScript/CSS","JavaScript/CSS","module","Magento_Backend"
"JavaScript/CSS Cache","JavaScript/CSS Cache","module","Magento_Backend"
"No records found.","Nici un registru găsit.","module","Magento_Backend"
"Images","Imagini","module","Magento_Backend"
"Big Image","Imagine mare","module","Magento_Backend"
"Thumbnail","Miniatură","module","Magento_Backend"
"Additional Settings","Setări suplimentare","module","Magento_Backend"
"records found","registre găsite","module","Magento_Backend"
"selected","selectat","module","Magento_Backend"
"per page","pe pagină","module","Magento_Backend"
"Previous page","Pagina anterioară","module","Magento_Backend"
"of %1","din %1","module","Magento_Backend"
"Next page","Pagina următoare","module","Magento_Backend"
"Export to:","Exportați în:","module","Magento_Backend"
"Actions","Actiuni","module","Magento_Backend"
"Mass Actions","Acțiuni în masă","module","Magento_Backend"
"Unselect All","Deselectare toate","module","Magento_Backend"
"Select Visible","Selectare Vizibile","module","Magento_Backend"
